Kecamatan,Nama Toko,Alamat,Rating
"Cempaka Putih, Jakarta Pusat",Toko Bangunan Fajar,"Jl. Cempaka Putih Barat II No.28A, Cemp. Putih Bar., Kec. Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10520, Indonesia",4.5
"Cempaka Putih, Jakarta Pusat",Toko Material PD MAKMUR PERCETAKAN NEGARA,"Jl. Percetakan Negara No.1A, RT.1/RW.5, Rawasari, Kec. Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570, Indonesia",4.5
"Cempaka Putih, Jakarta Pusat",Tb. Alam Mulia,"Jl. Cemp. Putih Barat, RT.1/RW.4, Cemp. Putih Bar., Kec. Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10520, Indonesia",3.5
"Cempaka Putih, Jakarta Pusat",BJ HOME PERCETAKAN NEGARA,"Jl. Percetakan Negara No.32, RT.1/RW.7, Cemp. Putih Bar., Jakarta, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10520, Indonesia",4.3
"Cempaka Putih, Jakarta Pusat",Toko Besi Cahaya,"Jl. Pangkalan Asem, RT.7/RW.1, Cemp. Putih Bar., Kec. Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10520, Indonesia",4.4
"Cempaka Putih, Jakarta Pusat",Toko Bangunan SAHABAT,"Jl. Rawasari Sel. No.282 6, RT.6/RW.1, Cemp. Putih Tim., Kec. Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10510, Indonesia",4.8
"Cempaka Putih, Jakarta Pusat",TB. Harapan Baru,"Jl. Rawasari Timur No.17, RT.10/RW.1, Cemp. Putih Tim., Kec. Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570, Indonesia",4.3
"Cempaka Putih, Jakarta Pusat",TB. JAYA KENCANA,"Jl. Pangkalan Asem No.1, RT.1/RW.9, Cemp. Putih Bar., Kec. Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10520, Indonesia",4.3
"Gambir, Jakarta Pusat",Tb. Putra Jaya,"Jl. Alaydrus No.14 A, RT.17/RW.3, Petojo Utara, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10130, Indonesia",4.5
"Gambir, Jakarta Pusat",Toko Bangunan Lucky Jaya,"Jl. Petojo Bar. VI No.7 8, RT.7/RW.1, Duri Pulo, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10140, Indonesia",4.0
"Gambir, Jakarta Pusat",Toko Bangunan Kanaan,"Jl. A.M Sangaji No.12, RT.9/RW.3, Petojo Utara, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10130, Indonesia",4.6
"Gambir, Jakarta Pusat",Tb. Jati Murni,"Gn. Kelud Ud., Jl. Cideng Barat No.Raya 90, RT.3/RW.1, Cideng, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10150, Indonesia",4.4
"Gambir, Jakarta Pusat",Toko Bangunan Murah,"Jl. Petojo Viy I No.6 2, RT.2/RW.6, Cideng, Kecamatan Gambir, Jakarta, Daerah Khusus Ibukota Jakarta 10150, Indonesia",3.9
"Gambir, Jakarta Pusat",Tb Bambang Jaya Material,"Jl. Pecenongan No.49, RT.2/RW.4, Kb. Klp., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10120, Indonesia",4.0
"Gambir, Jakarta Pusat",Toko bahan bangunan,"2, Jl. Cideng Timur No.67B, RT.2/RW.5, Petojo Sel., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10160, Indonesia",4.7
"Gambir, Jakarta Pusat",TB. Kemenangan,"Jl. Suryopranoto No.14A 1, RT.1/RW.8, Petojo Utara, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10130, Indonesia",4.6
"Johar Baru, Jakarta Pusat",Tb. Sukses Jaya,"Jl. Mardani Raya No.83D, RT.1/RW.9, Johar Baru, Kec. Johar Baru, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10560, Indonesia",4.7
"Johar Baru, Jakarta Pusat",Toko Cat & Bangunan : MAKMUR BANGUNAN Percetakan Negara,"Jl. Percetakan Negara No.66D, Johar Baru, Kec. Johar Baru, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10560, Indonesia",4.8
"Johar Baru, Jakarta Pusat",Toko Bangunan PD Dan's,"Jl. Percetakan Negara II No.24 11, RT.11/RW.6, Johar Baru, Kec. Johar Baru, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10560, Indonesia",4.1
"Johar Baru, Jakarta Pusat",Toko Besi Murah - Ritel Grosir Material dan Bahan Bangunan,"Jl. Letjen Suprapto No.12, RT.1/RW.1, Tanah Tinggi, Kec. Johar Baru, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10540, Indonesia",4.7
"Johar Baru, Jakarta Pusat",Toko Sinar Jaya,"Jl. Pangkalan Asem No.18, RT.8/RW.1, Galur, Kec. Johar Baru, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10530, Indonesia",4.7
"Johar Baru, Jakarta Pusat",TB Maju Berkah ARS,"6, RT.6/RW.10, Tanah Tinggi, Kec. Johar Baru, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10540, Indonesia",4.6
"Johar Baru, Jakarta Pusat",tb.rizky jaya.,"jl.kp rawa sawah no 11.jakpus, RT.12/RW.3, Kp. Rw., Kec. Johar Baru, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10550, Indonesia",4.5
"Johar Baru, Jakarta Pusat",Toko Bangunan Maju,"Jl. Mardani Raya No.3 14, RT.14/RW.5, Johar Baru, Kec. Johar Baru, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10560, Indonesia",4.2
"Kemayoran, Jakarta Pusat",Tb. Jaya Abadi Kemayoran,"depan optik bahari, Jl. Bend. Jago No.3, RT.06/RW.3, Serdang, Kec. Kemayoran, Jakarta, Daerah Khusus Ibukota Jakarta 10650, Indonesia",4.4
"Kemayoran, Jakarta Pusat",Toko Material Barang,"MGK Kemayoran Blok B11.1, Lt GF, Gn. Sahari Sel., Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10610, Indonesia",4.9
"Kemayoran, Jakarta Pusat",Tb. Cahaya Indah,"Jl. Cemp. Baru VII No.13, RT.2/RW.7, Kemayoran, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640, Indonesia",4.7
"Kemayoran, Jakarta Pusat",TB. Aneka Bangunan,"Jl. Howitzer Raya No.41 10, RT.10/RW.2, Sumur Batu, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640, Indonesia",4.3
"Kemayoran, Jakarta Pusat",Toko Bangunan Sinar Rejeki 44,"Jalan Letjend Suprapto No 44 RT 019. RW 007 Kelurahan :, Sumur Batu, Kecamatan : Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640, Indonesia",4.2
"Kemayoran, Jakarta Pusat",Toko Bahan Bangunan / Material Gembira,"Jl. Kepu Sel. No.1 14, RT.14/RW.2, Kemayoran, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10620, Indonesia",4.1
"Kemayoran, Jakarta Pusat",TB. Berkah Sumur Batu,"Jl. Serdang Raya No.16 2, RT.2/RW.1, Sumur Batu, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640, Indonesia",4.8
"Kemayoran, Jakarta Pusat",TB.CAHAYA BARU,"Jl. Sumur Batu Raya No.3, RT.2/RW.5, Cemp. Baru, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640, Indonesia",4.2
"Menteng, Jakarta Pusat",TB. Sinar Bangunan Menteng,"Jl. K.H. Wahid Hasyim No.72, RT.2/RW.4, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340, Indonesia",3.6
"Menteng, Jakarta Pusat",TB. Serba Jaya,"Jl. K.H. Wahid Hasyim No.58 7, RT.7/RW.5, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340, Indonesia",4.3
"Menteng, Jakarta Pusat",TB Maimunah,"5, Jl. Menteng Kecil No.11, RT.6/RW.9, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340, Indonesia",4.3
"Menteng, Jakarta Pusat",TB PERSADA Tambak,"Jl. Tambak No.19, RT.2/RW.4, Pegangsaan, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10320, Indonesia",4.6
